PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Interested in richer and more integrated experience? Download the official desktop app.",,"¿Está interesado en disfrutar de una experiencia más completa e integrada? Descargue la aplicación de escritorio oficial.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download",,"Descargar",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Desktop Client",,"Descargar el cliente de escritorio",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype",,"Descargar Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype on the device that’s most convenient for you.",,"Descarga Skype en el dispositivo que te resulte más práctico.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You need to enable javascript",,"Tienes que habilitar JavaScript.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable joining",,"Habilitar unión",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Explore Skype",,"Descubrir Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQ",,"Preguntas frecuentes",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"frequently asked questions",,"preguntas frecuentes",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQs",,"Preguntas frecuentes",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Feedback",,"Comentarios",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Finished chatting?",,"¿Terminaste de chatear?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get the app",,"Obtener la aplicación",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
