PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Get back to Skype quickly. Press {CTRL_KEY} + D to add Skype as a bookmark.",,"So kehren Sie schnell zu Skype zurück: Drücken Sie {CTRL_KEY} + D, um Skype zu den Favoriten hinzuzufügen.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get in touch with your friends and family directly from your browser",,"Bleiben Sie direkt von Ihrem Browser aus mit Freunden und Familie in Kontakt.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get Skype on the device that’s most convenient for you.",,"Holen Sie sich Skype auf Ihr bevorzugtes Gerät.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get started",,"Los geht's",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Got a question?",,"Sie haben Fragen?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi {ELEM_START}{NAME}{ELEM_END}",,"Hallo {ELEM_START}{NAME}{ELEM_END}!",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"As a guest, you can",,"Als Gast können Sie",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Group chat",,"Gruppen-Chat führen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Send emoticons and Mojis",,"Emoticons und Mojis senden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share photos and files",,"Fotos und Dateien freigeben",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share your screen",,"Ihren Bildschirm freigeben",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make video calls",,"Videoanrufe tätigen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make voice calls",,"Sprachanrufe tätigen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Guest",,"Gast",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Have your queries about Skype for Web answered.",,"Finden Sie Antworten auf Ihre Fragen zu Skype im Web.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Incoming call",,"Eingehender Anruf",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"install plugin",,"Plugin installieren",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Join me on Skype to chat, call, and share. You don't need to sign-up or download the app.",,"Folgen Sie mir zu Skype, um zu chatten, zu telefonieren und Elemente freizugeben. Keine Registrierung und kein Herunterladen der App erforderlich.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi,",,"Hallo!",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Just select this link, or copy and paste it into your browser:",,"Klicken Sie einfach auf diesen Link, oder kopieren Sie ihn und fügen ihn in Ihren Browser ein:",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Let's chat on Skype",,"Auf Skype chatten",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Invite anyone to chat with this link.",,"Laden Sie beliebige Personen mit diesem Link zum Chatten ein.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Invite via email",,"Per E-Mail einladen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign up",,"Registrieren",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Joining disabled by chat creator.",,"Teilnahme durch Chatersteller deaktiviert.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign up and use Skype every day. Get the free app on your mobile, tablet, desktop and more to keep your conversations going, wherever you are.",,"Registrieren Sie sich und verwenden Sie Skype täglich. Laden Sie die kostenlose App auf Ihr Mobiltelefon, Ihr Tablet, Ihren Desktop-Computer usw. herunter, um überall Unterhaltungen zu führen.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Language",,"Sprache",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Learn all about Skype’s free and low-cost features.",,"Erfahren Sie alles über die kostenlosen oder kostengünstigen Funktionen von Skype.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Leave conversation",,"Unterhaltung verlassen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Link copied",,"Link kopiert",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"This link is valid for 24 hours.",,"Dieser Link ist 24 Stunden lang gültig.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Please copy the link manually",,"Kopieren Sie den Link manuell",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Loading...",,"Ladevorgang läuft...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make Skype calls",,"Skype-Anrufe tätigen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"... but we can take you to {LINK_START}Skype for Web{LINK_END}",,"... aber wir können Sie zu {LINK_START}Skype im Web{LINK_END} weiterleiten.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Need to use Skype?",,"Wollen Sie Skype verwenden?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sorry, Skype for Web isn’t available on this device yet.",,"Leider ist Skype im Web auf diesem Gerät noch nicht verfügbar.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Skype for Web is not a replacement for your telephone and can’t be used for emergency calling.",,"Skype im Web ist kein Ersatz für Ihren normalen Telefondienst und kann nicht für Notrufe genutzt werden.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Oops, we couldn’t find the page you were looking for...",,"Hoppla. Die gesuchte Seite wurde nicht gefunden …",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Privacy and cookie policy",,"Datenschutz- und Cookie-Richtlinien",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Privacy",,"Datenschutz",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Read more about cookies",,"Weitere Informationen zu Cookies",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"sign in again",,"Erneut anmelden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Redirecting...",,"Sie werden weitergeleitet...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Reject call",,"Anruf ablehnen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Reject call using Alt + Page Down",,"Anruf ablehnen über Alt + Bild ab",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Search by email or Skype Name.",,"Suchen Sie nach Skype-Name oder E-Mail-Adresse.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"See our FAQ’s",,"Schauen Sie in unsere FAQs",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Send instant messages",,"Sofortnachrichten senden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Yay! Now check out your emoticons...",,"Testen Sie jetzt Ihre Emoticons...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Invite Facebook friends",,"Facebook-Freunde einladen",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sending one of our engineers to fix it. Give it a couple of minutes and try again.",,"Wir setzen einen unserer Techniker daran. In ein paar Minuten können Sie es erneut versuchen.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"For security reasons your session will expire in less than an hour",,"Aus Sicherheitsgründen wird Ihre aktuelle Sitzung in weniger als einer Stunde beendet.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"For security reasons your session will expire in less than 30 minutes",,"Aus Sicherheitsgründen wird Ihre aktuelle Sitzung in weniger als 30 Minuten beendet.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign in",,"Anmelden",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"To enjoy the full Skype experience with even more people and create your own conversations, simply sign in or create a new account.",,"Um das komplette Skype-Erlebnis mit noch mehr Personen genießen und eigene Unterhaltungen erstellen zu können, melden Sie sich einfach an oder erstellen Sie ein neues Konto.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sorry, Skype for Web is invitation only at this time.",,"Skype im Web gibt es momentan leider nur auf Einladung.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Oops, something went wrong at our end",,"Hoppla, bei uns ist etwas schiefgelaufen!",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Give it a go on the latest version of Firefox.",,"Probieren Sie es mit der aktuellen Version von Firefox.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Give it a go on the latest version of Safari or Chrome.",,"Probieren Sie es mit den aktuellen Versionen von Safari oder Chrome.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
