PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Hang up your current call before starting a new one.",,"Legen Sie für den aktuellen Anruf auf, bevor Sie einen neuen beginnen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call busy",,"Besetzt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call canceled",,"Anruf abgebrochen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call declined",,"Anruf abgelehnt",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call dropped",,"Anruf abgebrochen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"hh\:mm\:ss",,"hh\:mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"mm\:ss",,"mm\:ss",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended",,"Anruf beendet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended",,"Anruf beendet",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Ended {0}",,"Anruf beendet {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call ended {0}",,"Anruf beendet {0}",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call failed",,"Anruf fehlgeschlagen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call Missed",,"Anruf verpasst",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call missed",,"Anruf verpasst",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tap to return to call",,"Tippen, um zum Anruf zurückzukehren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call on hold",,"Anruf wird gehalten",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call",,"Anruf",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Call started",,"Anruf begonnen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Calling",,"Anrufen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Sorry, we're unable to search for people at the moment",,"Leider kann derzeit nicht nach Personen gesucht werden.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Conversations",,"Unterhaltungen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Try @ mentioning the people you want to participate in this channel.",,"Erwähnen Sie in @ die Personen, die in diesem Kanal teilnehmen sollen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Remove from favorites",,"Aus Favoriten entfernen",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"More options for this channel",,"Weitere Optionen für diesen Kanal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your channels right now",,"Wir können Ihre Kanäle jetzt nicht aktualisieren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We're working on getting them back for you ASAP.",,"Wir arbeiten daran, sie Ihnen so rasch wie möglich wieder bereitzustellen.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't load this channel right now.",,"Dieser Kanal kann momentan nicht geladen werden.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"channel",,"Kanal",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"We can't update your conversations right now",,"Wir können Ihre Unterhaltungen jetzt nicht aktualisieren",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Tabs",,"Registerkarten",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Have private one-on-one and group conversations, and video calls.",,"Führen Sie private Einzel- und Gruppenunterhaltungen und Videoanrufe.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
"Start a private chat.",,"Beginnen Sie einen privaten Chat.",,"Text",,"All",,"Microsoft Teams for Windows Phone",,""
