PERMISSION NOTICE

The Microsoft “Terms of Use” (available at the www.microsoft.com website) govern all glossary terms in this document (“Glossary Terms”).  The following supplemental terms and conditions also apply.  If there is any conflict between the Terms of Use and the following terms and conditions, the following terms and conditions will take
Precedence over the Terms of Use.
         
1. No part of the Glossary Terms may be reproduced, adapted, distributed, or transmitted in any form or by any means, electronic, mechanical, or otherwise, including photocopying and entry into an information storage and/or retrieval system, for any purpose without the prior express consent of Microsoft Corporation. 

2. You may use the Glossary Terms in the development of any application software and you may also use the Glossary Terms for personal or non-commercial purposes only without the prior written consent of Microsoft Corporation, and only if all copies contain this Permission Notice and the Microsoft copyright notice in the Terms of Use.         
                                                                                                                                
3. You are not permitted to make any modifications, deletions or additions to the Glossary Terms.
 
4. Except as expressly set forth above, Microsoft’s publication of the Glossary Terms does not grant any rights to use, distribute, or implement any technology or intellectual property rights. All rights not expressly granted herein are expressly reserved by Microsoft.
"Source Term",,"Translation",,"String Category",,"Platform",,"Product",,"Version"
"Interested in richer and more integrated experience? Download the official desktop app.",,"Máte zájem o více funkcí a lepší integraci s operačním systémem? Stáhněte si oficiální desktopovou aplikaci.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download",,"Stáhnout",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Desktop Client",,"Stáhnout klienta pro stolní počítače",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype",,"Stáhněte si Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Download Skype on the device that’s most convenient for you.",,"Stáhněte si Skype do zařízení, na kterém byste ho nejraději používali.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You need to enable javascript",,"Musíte si povolit JavaScript.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Enable joining",,"Povolit připojení",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Explore Skype",,"Prozkoumejte Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQ",,"Časté otázky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"frequently asked questions",,"časté otázky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"FAQs",,"Časté otázky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Feedback",,"Váš názor",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Finished chatting?",,"Už nechcete chatovat?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get the app",,"Stáhnout aplikaci",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get back to Skype quickly.",,"Mějte ke Skypu rychlý přístup.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get back to Skype quickly. Press {CTRL_KEY} + D to add Skype as a bookmark.",,"Mějte ke Skypu rychlý přístup. Stisknutím kláves {CTRL_KEY}+D si Skype přidáte jako záložku.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get in touch with your friends and family directly from your browser",,"Spojte se se svými přáteli a rodinou přímo z prohlížeče",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get Skype on the device that’s most convenient for you.",,"Stáhněte si Skype do zařízení, na kterém byste ho nejraději používali.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Get started",,"Začínáme",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Got a question?",,"Chcete se na něco zeptat?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi {ELEM_START}{NAME}{ELEM_END}",,"Milý uživateli {ELEM_START}{NAME}{ELEM_END},",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"As a guest, you can",,"Jako host máte k dispozici",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Group chat",,"Skupinový chat",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Send emoticons and Mojis",,"Odesílání emotikon a Moji",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share photos and files",,"Sdílení fotografií a souborů",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Share your screen",,"Sdílení obrazovky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make video calls",,"Videohovory",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make voice calls",,"Hlasová volání",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Guest",,"Host",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Have your queries about Skype for Web answered.",,"Najděte odpovědi na svoje dotazy ohledně Skypu pro web.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Incoming call",,"Příchozí hovor",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"install plugin",,"nainstalovat plug-in",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Join me on Skype to chat, call, and share. You don't need to sign-up or download the app.",,"Přidejte se ke mně na Skype a chatujte, volejte a sdílejte. Není nutné se registrovat ani stahovat aplikaci.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi,",,"Dobrý den,",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Just select this link, or copy and paste it into your browser:",,"Stačí použít tento odkaz nebo ho zkopírovat a vložit do prohlížeče:",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Let's chat on Skype",,"Pojďme na Skype chat",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Invite anyone to chat with this link.",,"Tímto odkazem můžete pozvat na chat kohokoli.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Invite via email",,"Pozvat e-mailem",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign up",,"Zaregistrovat se",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Joining disabled by chat creator.",,"Připojování bylo zakázáno tvůrcem chatu.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign up and use Skype every day. Get the free app on your mobile, tablet, desktop and more to keep your conversations going, wherever you are.",,"Zaregistrujte se a používejte Skype každý den. Získejte zdarma aplikaci pro mobilní telefon, tablet, počítač a další, abyste mohli být stále v kontaktu.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Language",,"Jazyk",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Learn all about Skype’s free and low-cost features.",,"Přečtěte si o funkcích Skypu, které můžete mít zadarmo nebo za nízké ceny.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Leave conversation",,"Opustit konverzaci",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Link copied",,"Odkaz byl zkopírován",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"This link is valid for 24 hours.",,"Tento odkaz je platný po dobu 24 hodin.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Please copy the link manually",,"Zkopírujte odkaz ručně",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Loading...",,"Načítání…",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make Skype calls",,"Volejte přes Skype",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Make video calls",,"Volejte přes videohovory",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"... but we can take you to {LINK_START}Skype for Web{LINK_END}",,"…můžeme vás ale přepnout na {LINK_START}Skype pro web{LINK_END}",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Need to use Skype?",,"Potřebujete používat Skype?",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sorry, Skype for Web isn’t available on this device yet.",,"Omlouváme se, ale Skype pro web zatím pro toto zařízení není k dispozici.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Skype for Web is not a replacement for your telephone and can’t be used for emergency calling.",,"Skype pro web není produkt, který by plně nahradil normální telefon, a nejde používat k tísňovým voláním.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Oops, we couldn’t find the page you were looking for...",,"Nepovedlo se nám najít stránku, kterou jste hledali...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Privacy and cookie policy",,"Zásady ochrany osobních údajů a zásady použití souborů cookie",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Privacy",,"Ochrana osobních údajů",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Read more about cookies",,"Další informace o souborech cookie",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"sign in again",,"Znovu se přihlásit",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Redirecting...",,"Přesměrovávání...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Reject call",,"Odmítnout hovor",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Reject call using Alt + Page Down",,"Odmítnout volání klávesami Alt+Page Down",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Search by email or Skype Name.",,"Vyhledávat můžete podle e-mailu nebo skypového jména.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"See our FAQ’s",,"Podívejte se do častých otázek",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Send instant messages",,"Posílejte rychlé zprávy",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Yay! Now check out your emoticons...",,"Teď se podívejte na emotikony...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Invite Facebook friends",,"Pozvat přátele z Facebooku",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sending one of our engineers to fix it. Give it a couple of minutes and try again.",,"Naši technici už na tom pracují. Pár minut prosím počkejte a pak to zkuste znovu.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"For security reasons your session will expire in less than an hour",,"Z bezpečnostních důvodů platnost vaší relace do hodiny vyprší.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"For security reasons your session will expire in less than 30 minutes",,"Z bezpečnostních důvodů platnost vaší relace do 30 minut vyprší.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sign in",,"Přihlásit se",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"To enjoy the full Skype experience with even more people and create your own conversations, simply sign in or create a new account.",,"Pokud chcete Skype využívat na maximum a přidávat další uživatele a vytvářet vlastní konverzace, stačí se přihlásit nebo si vytvořit nový účet.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sorry, Skype for Web is invitation only at this time.",,"Omlouváme se, ale Skype pro web se zatím dá používat, jenom pokud máte od někoho pozvánku.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Oops, something went wrong at our end",,"Něco se u nás pokazilo",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Give it a go on the latest version of Firefox.",,"Vyzkoušejte ho v nejnovější verzi Firefoxu:",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Give it a go on the latest version of Safari or Chrome.",,"Vyzkoušejte ho v nejnovější verzi Safari nebo Chromu:",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Give it a go on the latest version of browsers: Microsoft Edge, Internet Explorer 10+, Chrome, Firefox or Safari.",,"Vyzkoušejte ho v nejnovější verzi těchto prohlížečů: Microsoft Edge, Internet Explorer 10+, Chrome, Firefox nebo Safari.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Give it a go on the latest version of these browsers: Microsoft Edge, Internet Explorer 10+, Chrome or Firefox.",,"Vyzkoušejte ho v nejnovější verzi těchto prohlížečů: Microsoft Edge, Internet Explorer 10+, Chrome nebo Firefox.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Terms of use",,"Podmínky použití",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Terms",,"Podmínky",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Tick tock, time's almost up...",,"Tik tak, čas už brzo vyprší...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Please try again later, or download Skype to use it anytime.",,"Zkuste to prosím znovu později, nebo si Skype stáhněte a budete ho moct používat, kdykoliv budete chtít.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Please try it on your desktop computer instead.",,"Zkuste to prosím místo toho na počítači.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Support for this version of Skype for Web is coming to an end. A new preview version is available now for Microsoft Edge and Google Chrome with HD video calling, call recording and much more.",,"Podpora této verze aplikace Skype pro web brzy skončí. Je k dispozici nová Preview verze pro Microsoft Edge a Google Chrome s videohovory v HD, nahráváním hovorů a mnoha dalšími funkcemi.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Try it out",,"Vyzkoušet",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"is trying to call you",,"se vám snaží zavolat.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"When your request is accepted, send a message.",,"Až ji odsouhlasí, pošlete zprávu.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Sorry, Skype for Web isn't available for this browser.",,"Omlouváme se, ale Skype pro web není pro tento prohlížeč dostupný.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Visit Skype.com",,"Navštivte www.skype.com",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"We're a bit overloaded right now...",,"Máme tu teď menší přetížení...",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Hi {NAME}, share this link with friends so they can join the conversation.",,"Ahoj {NAME}, sdílej tento odkaz s přáteli, aby se mohli přidat ke konverzaci.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"Welcome to Skype for Web",,"Vítá vás Skype pro web",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
"You’ll need a plugin to make Skype calls",,"Pro volání přes Skype budete potřebovat plug-in.",,"None",,"All",,"Skype for Web & Skype for Outlook.com 2016",,""
